prolific_pid,goal_condition,base_rate,raw_response,trial_id,decision_structure,strategy,response_lowercase,chose_which_contaminated,chose_which_uncontaminated,base_rate_num,base_rate_c
subj_071,uncont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""Since there's a few my coworker knows, asking which are directly contaminated could help narrow it down.""}",contaminated,TRUE,FALSE,0.5,0
subj_148,uncont,0.8,not contaminated,exp1_trial1,singleton,"{""strategy"":""It would make more sense to look at the uncontaminated vials first as there are a lot less of them to test.""}",not contaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_215,uncont,0.5,uncontaminated,exp1_trial1,singleton,"{""strategy"":""Because I need to test the uncontaminated vials.""}",uncontaminated,FALSE,TRUE,0.5,0
subj_045,cont,0.5,not contaminated,exp1_trial1,singleton,"{""strategy"":""If we can isolate those which are safe, then we can do something about those that are contaminated. My strategy was nothing special, to be honest. ""}",not contaminated,FALSE,TRUE,0.5,0
subj_181,uncont,0.8,uncontaminated,exp1_trial1,singleton,"{""strategy"":""If he knows about any of the uncontaminated vials, asking him about them directly solves the problem immediately, as I can just use the vials he points out. But I am running the risk of him not having info on any of the uncontaminated vials and not being able to answer at all.""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_028,cont,0.8,dangerous,exp1_trial1,singleton,"{""strategy"":""ask if it was dangerous to find out!""}",dangerous,TRUE,FALSE,0.8,0.30000000000000004
subj_075,uncont,0.8,Uncontaminated,exp1_trial1,singleton,"{""strategy"":""A simple and straightforward question doesn’t leave room for confusion assuming the colleague is competent""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_297,uncont,0.8,uncontaminated,exp1_trial1,singleton,"{""strategy"":""Since 2 of the vials are uncontaminated, it would be easier to find out if my lab partner knows which ones for sure, so that we can determine which of the 8 are contaminated. ""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_249,uncont,0.5,uncontaminated,exp1_trial1,singleton,"{""strategy"":""If I asked my colleague which vials they knew were noncontaminated, I would have assurance that the vial I pick is not contaminated. ""}",uncontaminated,FALSE,TRUE,0.5,0
subj_107,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I would ask they which ones they know for sure are contaminated or not so I can see if there are any consistent visual differences between those and the others. ""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_054,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""what i would ask to start to fix the problem that occurred""}",contaminated,TRUE,FALSE,0.5,0
subj_053,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""It seemed the reasonable question to ask.  If I really were in that position, this is what I would ask straight away.   The most important thing I feel is to know which are contaminated in order to mitigate whatever possible.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_105,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""The whole point is to find out which vials are contaminated. ""}",contaminated,TRUE,FALSE,0.5,0
subj_034,uncont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""the basic question of if they are contiminated""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_234,uncont,0.8,not contaminated,exp1_trial1,singleton,"{""strategy"":""if the colleague knows which vial for certain is not comtaminated then that would be a useful thing to know to run the test""}",not contaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_319,uncont,0.2,you certain are not contaminated,exp1_trial1,singleton,"{""strategy"":""The goal is to conduct a test using an uncontaminated vial; the contaminated vials can be dealt with later. If the colleague is certain about the statuses of some vials, then asking which ones are uncontaminated will allow me to achieve the goal.""}",you certain are not contaminated,FALSE,TRUE,0.2,-0.3
subj_084,uncont,0.2,uncontaminated,exp1_trial1,singleton,"{""strategy"":""As most of the vials are uncontaminated, knowing which ones these are from my colleague would give me the best chance of being able to run the experiment successfully on as many vials as possible. I hope that makes sense.""}",uncontaminated,FALSE,TRUE,0.2,-0.3
subj_178,uncont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""I need to know which vials are not contaminated so I can run an experiment on one of them.""}",contaminated,TRUE,FALSE,0.5,0
subj_043,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I tried to ask the most direct and simple question to figure out which were contaminated. ""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_241,uncont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""based off the information provided about the contamination. ""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_270,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""even tho he didnt see all,the majority will be contaminated""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_073,uncont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I think if my colleague tells me which ones are contaminated, I can run my experiment on uncontaminated vials""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_246,uncont,0.5,Contaminated,exp1_trial1,singleton,"{""strategy"":""I know that my colleague has the answer to some of the contaminated vials.""}",contaminated,TRUE,FALSE,0.5,0
subj_243,cont,0.2,Contaminated,exp1_trial1,singleton,"{""strategy"":""I chose to ask which he knew had a status ch anger. ""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_074,uncont,0.8,uncontaminated,exp1_trial1,singleton,"{""strategy"":""To get the required knowledge swiftly from my colleague""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_282,uncont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""I would be able to eliminate ones that he knew were contaminated, and then from there try and find other features that were like the ones that were contaminated.  If not, it at least would increase the odds of guessing it correctly.""}",contaminated,TRUE,FALSE,0.5,0
subj_260,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""i just need to know the vials contaminated ""}",contaminated,TRUE,FALSE,0.5,0
subj_252,uncont,0.5,not contaminated,exp1_trial1,singleton,"{""strategy"":""Needing assistance in finding out which viles are not contaminated""}",not contaminated,FALSE,TRUE,0.5,0
subj_225,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""He knows some that are, I should find out which those are.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_313,cont,0.8,not contaminanted,exp1_trial1,singleton,"{""strategy"":""because it seems easy to know the status of  only a few vials vrs a majority, if the person is certain then it will be an easy answer ""}",not contaminanted,FALSE,TRUE,0.8,0.30000000000000004
subj_130,cont,0.2,contamined,exp1_trial1,singleton,"{""strategy"":""Because the picture seemed like most viles were contaminated.""}",contamined,TRUE,FALSE,0.2,-0.3
subj_151,uncont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""I wanted the best answer possible""}",contaminated,TRUE,FALSE,0.5,0
subj_321,uncont,0.8,uncontaminated,exp1_trial1,singleton,"{""strategy"":""I only need to identify ONE uncontaminated vial. If the colleague saw at least one that they knew was uncontaminated, that would be sufficient for my purposes.""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_049,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I completed my question to get to the main point of this situation, which was about contamination.""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_079,cont,0.8,safe,exp1_trial1,singleton,"{""strategy"":""if I know which ones are for sure safe, my guess on contaminated coal will be more likely to be correct""}",safe,FALSE,TRUE,0.8,0.30000000000000004
subj_007,uncont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I want to find out which are contaiminated. I know the others aren't!""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_237,uncont,0.5,not contaminated,exp1_trial1,singleton,"{""strategy"":""I am looking for an safe vial, so I would want to know which ones she knows are uncontaminated""}",not contaminated,FALSE,TRUE,0.5,0
subj_061,uncont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""I wanted to know which were contaminated that they knew about.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_154,uncont,0.5,Contaminated,exp1_trial1,singleton,"{""strategy"":""I wanted to know which ones were contaminated.""}",contaminated,TRUE,FALSE,0.5,0
subj_262,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""I want to know which vials are contaminated""}",contaminated,TRUE,FALSE,0.5,0
subj_212,uncont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""i asked them to pinpoint which ones are contaminated which will help me distinguish and choose the correct one""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_143,cont,0.2,Contaminated,exp1_trial1,singleton,"{""strategy"":""I asked them straight out which were contaminated because they saw what happened to some of the vials""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_294,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""Some vials were contaminated, but most were not; and my colleague knows some of which ones were contaminated.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_132,uncont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""I'm not sure. It's what I would do, but it's probably not the right thing to do. Which is why I did really bad in science, failed bio lab, never went to med school as planned, and ended up an insurance agent. ""}",contaminated,TRUE,FALSE,0.5,0
subj_037,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""My job is to find out what the contaminent is""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_119,uncont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""ask him which he knows for sure are bad, then we can exclude those""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_192,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""They knew at least some were contaminated, so I thought if I could find at least one by asking, it might help me find the others by comparing.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_001,uncont,0.8,uncontaminated,exp1_trial1,singleton,"{""strategy"":""I thought because most were contaminated, and the coworker only saw some of them, it would be more valuable to see which ones were uncontaminated.""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_315,uncont,0.8,uncontaminated,exp1_trial1,singleton,"{""strategy"":""that you are aware of.\n\nNeed to know for certain which vials are uncontaminated.""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_298,uncont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""partner has a good idea of which are contaminated""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_141,uncont,0.8,uncontaminated,exp1_trial1,singleton,"{""strategy"":""Based on the guidelines given""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_268,uncont,0.8,not contaminated,exp1_trial1,singleton,"{""strategy"":""I thought it would result it less options. Fewer vials as options to choose from. From there, probability may be more on my side. Is my thinking, anyways.""}",not contaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_164,uncont,0.2,"contaminated, i would assume 2 and 10 , no",exp1_trial1,singleton,"{""strategy"":""I based my assumption on the red vials that i visualy had seen, which represented vials 2 & 10. Therefore, i completed my question with what i would personally guess should help, but again, it's the unknown.""}","contaminated, i would assume 2 and 10 , no",TRUE,FALSE,0.2,-0.3
subj_087,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""My main goal is to find the source of the contamination, so it makes the most sense to ask my colleague which vial is contaminated.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_210,uncont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""first one that seemed important""}",contaminated,TRUE,FALSE,0.5,0
subj_156,uncont,0.2,Uncontaminated,exp1_trial1,singleton,"{""strategy"":""If he is certain of at least 1 uncontaminated vial, I can use that for the test safely assuming he isn't lying.""}",uncontaminated,FALSE,TRUE,0.2,-0.3
subj_080,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""I wanted to find out which of the vials were contaminated.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_030,uncont,0.8,uncontaminated,exp1_trial1,singleton,"{""strategy"":""the colleague knew for certain some but not all so can recommend the ones they know for certain.""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_078,uncont,0.5,do you know are contaminated and what makes them different from the non-contaminated vials,exp1_trial1,singleton,"{""strategy"":""I reworded the question in a way that would require them to recall exactly what vials were contaminated and I made sure to have them clarify the differences between the contaminate and uncontaminated vials since they are certain.""}",do you know are contaminated and what makes them different from the non-contaminated vials,TRUE,FALSE,0.5,0
subj_004,uncont,0.5,Uncontaminated,exp1_trial1,singleton,"{""strategy"":""As my goal was to test on an uncontaminated vial, I wanted this information on a vial so I could be 100% sure it was uncontaminated.""}",uncontaminated,FALSE,TRUE,0.5,0
subj_168,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""I'm looking for vials that are contaminated so that has to be the answer""}",contaminated,TRUE,FALSE,0.5,0
subj_042,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""I want to find out what the contaminant is so I need to test a vial that was contaminated.""}",contaminated,TRUE,FALSE,0.5,0
subj_069,uncont,0.5,Contaminated,exp1_trial1,singleton,"{""strategy"":""Since the colleague knew some of the vials were contaminated, it’s figure that would point me in the right direction of making a safe choice. ""}",contaminated,TRUE,FALSE,0.5,0
subj_135,uncont,0.8,uncontiminated,exp1_trial1,singleton,"{""strategy"":""if she knows some of them.. maybe she knows for sure which ones are 100 verifiably uncontaminated ""}",uncontiminated,FALSE,TRUE,0.8,0.30000000000000004
subj_140,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""I just kept it simple, i asked which ones are contaminated because this is clear, easy to understand and does not cause any confusion or miscommunication.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_257,uncont,0.2,uncontaminated,exp1_trial1,singleton,"{""strategy"":""Thegoal is to test one uncontaminated vial, so the question must be which vial is not contaminated.""}",uncontaminated,FALSE,TRUE,0.2,-0.3
subj_167,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I asked which are contaminated to know which are contaminated ""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_331,uncont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""I figured this would get the clearest answer""}",contaminated,TRUE,FALSE,0.5,0
subj_309,uncont,0.5,uncontaminated,exp1_trial1,singleton,"{""strategy"":""I remembered what my colleague was looking for ""}",uncontaminated,FALSE,TRUE,0.5,0
subj_109,cont,0.8,Contaminated,exp1_trial1,singleton,"{""strategy"":""I thought if they knew they might know the contaminate ""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_256,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""My goal is to identify a contaminated vial. Since my colleague knows the status of some vials for certain, asking directly about contamination maximizes the chance of getting useful information quickly.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_060,cont,0.2,contaminanted,exp1_trial1,singleton,"{""strategy"":""i tried to figure which ones needed to be evaulated""}",contaminanted,TRUE,FALSE,0.2,-0.3
subj_295,uncont,0.8,uncontaminated,exp1_trial1,singleton,"{""strategy"":""the colleague did know for sure which vials were contaminated but knew which ones were ""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_229,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I asked the question that would give the most useful information to reach my goal with only one chance.""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_248,cont,0.8,Uncontaminated,exp1_trial1,singleton,"{""strategy"":""Contaminated is probably the most popular response so I chose uncontaminated ""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_057,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""it would rule out the highest number of vials the quickest, as colleague knows this answer""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_300,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""Asking which are contaminated will reveal at least some of the bad ones. Asking which are uncontaminated might not reveal any bad ones.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_222,uncont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""I asked which were contaminated. So we can know right off and separate the ones that are not contaminated. Best to know right off and you'd think they would be able to answer that easily.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_228,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I knew that my collegue knew some of the vials that were contaminated""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_166,cont,0.5,Contaminated,exp1_trial1,singleton,"{""strategy"":""Based on knowledge of colleague ""}",contaminated,TRUE,FALSE,0.5,0
subj_254,cont,0.8,Contaminated,exp1_trial1,singleton,"{""strategy"":""I can test it to see what the contaminate is, then test for that contaminant in the vials we don't know about""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_275,uncont,0.5,Contaminated,exp1_trial1,singleton,"{""strategy"":""I figured that he would be more likely, or the colleague would be more likely to remember which ones were contaminated because there would be some kind of movement or some kind of touching or rubbing off into those vials that may have been more memorable""}",contaminated,TRUE,FALSE,0.5,0
subj_149,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""I asked for the contaminated vials directly because identifying at least one confirmed contaminated vial would maximize the chance that the single vial I analyze will reveal the contaminant, which is the stated goal. ""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_236,uncont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""I figured that if I knew which ones were contaminated, I would be able to choose one that wasn't.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_220,cont,0.2,certainly contaminated,exp1_trial1,singleton,"{""strategy"":""I want to know which ones of for sure contaminated then move on from there and identify what is in the vials.""}",certainly contaminated,TRUE,FALSE,0.2,-0.3
subj_095,uncont,0.8,likely contaminated based on what you saw,exp1_trial1,singleton,"{""strategy"":""I wanted to narrow done which ones would be likely to be safe from contamination, if it could not be 100% certain.""}",likely contaminated based on what you saw,TRUE,FALSE,0.8,0.30000000000000004
subj_008,uncont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""The person knows the status of some of the vials. I want to know what those are so I can take them out of my equation. That is about all I can really ask this person to help me in my task.""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_139,cont,0.2,you certain are contaminated,exp1_trial1,singleton,"{""strategy"":""If I am aware that only 2 of the ten vials are contaminated, then there is a chance my colleague has seen the two that are contaminated. If they can point those two out then it would be simple for me to pick one to analyze.""}",you certain are contaminated,TRUE,FALSE,0.2,-0.3
subj_137,uncont,0.5,uncontaminated,exp1_trial1,singleton,"{""strategy"":""Without any knowledge of my own, I can only ask if the colleague knows if any vials are uncontaminated""}",uncontaminated,FALSE,TRUE,0.5,0
subj_284,uncont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""they were present when some got contaminated and know which was are.""}",contaminated,TRUE,FALSE,0.5,0
subj_207,cont,0.2,not contaminated,exp1_trial1,singleton,"{""strategy"":""I thought having this information would be the most helpful.""}",not contaminated,FALSE,TRUE,0.2,-0.3
subj_279,uncont,0.5,Safe,exp1_trial1,singleton,"{""strategy"":""He knows about some of the vials, so he might know of at least one uncontaminated vial.""}",safe,FALSE,TRUE,0.5,0
subj_205,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""I wanted to know which ones he knew for sure were contaminated""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_096,cont,0.8,not contminated,exp1_trial1,singleton,"{""strategy"":""I think it might be easier to test the ones the colleague was more sure about being uncontaminated, so I would put whichever ones were safer to the side.""}",not contminated,FALSE,TRUE,0.8,0.30000000000000004
subj_285,uncont,0.2,not contaminated,exp1_trial1,singleton,"{""strategy"":""Since my goal was to test my experiment on a non contaminated vial, I thought that simply asking which vials were not contaminated would be safest and simplest option""}",not contaminated,FALSE,TRUE,0.2,-0.3
subj_129,uncont,0.5,uncontaminated,exp1_trial1,singleton,"{""strategy"":""The colleague is sure that some vials are good. I need one of those vials. If I ask for the ones they know are contaminated, then, because they are unsure of a couple, I could pick a contaminated vial. So I am asking them for a good vial that they are sure of.""}",uncontaminated,FALSE,TRUE,0.5,0
subj_046,uncont,0.8,for sure uncontaminated,exp1_trial1,singleton,"{""strategy"":""i basically asked about the \""for sure\"" vials they saw, trying to get info about their status""}",for sure uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_213,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""I wanted to find out which vials the coworker knew were contaminated, so that we could eliminate some of the vials from consideration.""}",contaminated,TRUE,FALSE,0.5,0
subj_115,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I think it would be easiest to know which of the vials had been contaminated so I can then test those ones to see what the contaminate is""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_098,uncont,0.8,Contaminated,exp1_trial1,singleton,"{""strategy"":""It seems most vials are contaminated""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_303,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""Because my coworker can identify some of the contaminated vials.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_281,uncont,0.5,Pure,exp1_trial1,singleton,"{""strategy"":""Asked directly which ones were safe""}",pure,FALSE,TRUE,0.5,0
subj_157,cont,0.2,not contaminated,exp1_trial1,singleton,"{""strategy"":""It may be easier for him to know which are okay ""}",not contaminated,FALSE,TRUE,0.2,-0.3
subj_094,uncont,0.5,Contaminated,exp1_trial1,singleton,"{""strategy"":""He was sure of two of them. I would stand a 50/50 chance of finding one contaminated and one non contaminated vile. ""}",contaminated,TRUE,FALSE,0.5,0
subj_117,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""I asked the most direct question to what I was looking for.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_208,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""If the scientist knows what vials are contaminated, it only makes sense to have him tell me which vials he knows are contaminated so then I can try to identify which of the rest of them are and aren't.""}",contaminated,TRUE,FALSE,0.5,0
subj_158,uncont,0.8,Not contaminated,exp1_trial1,singleton,"{""strategy"":""See which ones are not and then deduce which ones are. Matter of elimination ""}",not contaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_175,uncont,0.5,uncontaminated,exp1_trial1,singleton,"{""strategy"":""seemed the most straightforward answer, i can avoid the ones that are definitely contaminated""}",uncontaminated,FALSE,TRUE,0.5,0
subj_173,cont,0.5,certainly contaminated,exp1_trial1,singleton,"{""strategy"":""By gaining a sure answer from colleague""}",certainly contaminated,TRUE,FALSE,0.5,0
subj_196,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""its so simple just ask""}",contaminated,TRUE,FALSE,0.5,0
subj_238,uncont,0.2,the contaminated ones that you saw,exp1_trial1,singleton,"{""strategy"":""That's what they were certain about""}",the contaminated ones that you saw,TRUE,FALSE,0.2,-0.3
subj_253,uncont,0.5,Contaminated,exp1_trial1,singleton,"{""strategy"":""By the basic problem trying to find which vials were contaminated and which were not""}",contaminated,TRUE,FALSE,0.5,0
subj_059,uncont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""I wanted to see which ones were contaminated first ""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_221,cont,0.5,contaminant,exp1_trial1,singleton,"{""strategy"":""I asked what I needed to know..""}",contaminant,TRUE,FALSE,0.5,0
subj_266,cont,0.5,not contaminated,exp1_trial1,singleton,"{""strategy"":""I figured I should figure out which vials are for sure safe first.""}",not contaminated,FALSE,TRUE,0.5,0
subj_062,uncont,0.2,uncontaminated,exp1_trial1,singleton,"{""strategy"":""I was hoping to be more general than specific in questioning, to provide the best possible outcome. By asking precisely about certain vials, too much confusion and room for error is present.""}",uncontaminated,FALSE,TRUE,0.2,-0.3
subj_191,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I needed to know where to start the testing""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_150,cont,0.8,contaminated and not contaminated,exp1_trial1,singleton,"{""strategy"":""It was stated that the colleague knows for certain about some vials, not about others. If the colleague knew which vials were/were not contaminated for certain then a potential comparison could be done.""}",contaminated and not contaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_182,uncont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""If he noticed which ones were, Id like to know that rather then what isnt.""}",contaminated,TRUE,FALSE,0.5,0
