prolific_pid,goal_condition,decision_structure,chosen_question,chose_which_contaminated,chose_which_uncontaminated,base_rate,trial_id,strategy
subj_223,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""He needs the safe ones so I can guarantee some right""}"
subj_180,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I decided on which question to ask based on task I was given. I am supposed to run a test on a non-contaminated tube.""}"
subj_147,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""as i feel this have the most risk and so would like to identify those first ""}"
subj_142,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""Assuming my colleague knows about some vials but not about others, I must presume some of the vials he knows about are uncontaminated and thus good for the experiment. Once we find out this number, we can look at the number that are left unidentified and work from there.""}"
subj_325,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""Because my colleague doesn't know the status of all vials, I can't just ask which ones are contaminated, because it's possible some of the vials the client doesn't know about may be contaminated. But at least if I ask which ones are uncontaminated, those the colleague does know about for sure can be used in the experiment (even if there are also some other uncontaminated ones that go to waste).""}"
subj_176,cont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""If I know which ones are contaminated It'll be easier figure out the status of the other vials""}"
subj_155,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I know I need to dispose of the vials that ARE contaminated.""}"
subj_159,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I would remove all of the vials that my colleague could not say were NOT contaminated with certainty.""}"
subj_047,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""It's easy to address the issues if you point out directly the problem that you want to find out. ""}"
subj_114,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""Separate first the good ones to avoid contamination""}"
subj_134,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Since my goal was to find a contaminated vial, I thought it best to ask my partner directly. He was sure about some of them so I believe this would get me quickly to an answer.""}"
subj_093,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I can isolate the vials contaminated to start working out the contaminant ""}"
subj_274,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""The goal was to run an experiment on an uncontaminated vial. I would need to know which vial was not contaminated to achieve this.""}"
subj_334,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""To ask \""which ones are not contaminated?\"" guarantees that I have a vial which is not contaminated even if he is unsure about which ones are a 'maybe' or 'not safe'.""}"
subj_011,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I need to identify the contaminent so I can test for it in the 2 unknown samples.""}"
subj_199,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I have to use one of the contaminated vials to try and find out what it is. This will most likely ensure that I have at least one known contaminated vial. ""}"
subj_259,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""Asking for whih vials are not contamiated help to reduce the brden and make the sorting much more easier""}"
subj_189,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""Those are the vials that are needed.""}"
subj_023,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""If they need vials of uncontaminated, they could pull the ones they know aren't so at least they have those.""}"
subj_146,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""Because if I know for sure that it's not contaminated, it's safe to use. If I know which ones are contaminated, that's helpful, but the \""safety\"" of the other ones are still uncertain leaving me with nothing completely safe to use.""}"
subj_239,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""The uncontaminated vial are the ones that I can use to reach my goal""}"
subj_269,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""So we can separate the vials that we know are not contaminated to the ones we think may have ""}"
subj_194,uncont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I chose the question without negative language, it is typically easier if you ask direct questions it helps eliminate confusion. ""}"
subj_301,uncont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Knowing which ones are contaminated means those won't ruin the experiment if they are removed. ""}"
subj_218,uncont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Before all vials were safe, then they became contaminated so colleague will know which ones became contaminated""}"
subj_264,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""if the colleague knows which are contaminated then these can be eleminated""}"
subj_262,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I want to know which vials are not contaminated.""}"
subj_245,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I want to find the guaranteed safe ones first for the upcoming trial.""}"
subj_052,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I asked which ones are not contaminated so my colleague would hopefully tell me for definite which one they saw uncontaminated. If they were unsure on a vial then they wouldn't include that one.""}"
subj_211,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I want to know a for sure answer instead of a guess. ""}"
subj_327,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I decided to ask this because all I need is to run my experiment on one uncontaminated vial. If my colleague can point to at least one vial they know for certain is uncontaminated, then I will meet my goal.""}"
subj_085,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I want to grab a vial with the contaminant in it so we can run tests on that vial, so I asked my partner for one of the ones he knows is contaminated. ""}"
subj_055,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I figure knowing which ones have a contaminant will help identify it""}"
subj_153,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""if we know which vials are contaminated we can run a test on what contaminated them and then check the other vials""}"
subj_010,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""Identifying the safe and uncontaminated vials allows me to treat the rest as a hazard and mazimize my score.""}"
subj_066,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I thought that would give me the best chance of disposing of the contaminated vials.""}"
subj_322,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""It's more helpful to the goal of the identification. ""}"
subj_120,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I want to know for certain which is safe. I think this is the more conservative approach and I’ll feel good knowing the safe ones are guaranteed. ""}"
subj_025,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""It might be easier for them to recall which of the vials were not affected than it will for them to accurately recount which looked like they were contaminated.""}"
subj_265,uncont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I wanted to make sure the vials I knew were contaminated were removed""}"
subj_044,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""It seems more helpful to be able to know which ones are contaminated for certain. ""}"
subj_214,uncont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Actually I think it's better to assume that your coworker didn't contaminate any, so you should ask him which ones are not contaminated.""}"
subj_162,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I asked which are not contaminated to determine the rest are""}"
subj_198,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I want to explicitly know which vials he saw get contaminated where we can ensure they are removed for the safety inspection.""}"
subj_035,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I figured this way she would say ones for sure ""}"
subj_097,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I think this choice was more direct and gets to the root of the problem I'm trying to solve.""}"
subj_308,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""He knows two that are contaminated already. If there is some he can guarantee we can further eliminate potential bad options.""}"
subj_098,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I kinda just picked randomly""}"
subj_145,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I just would rather see the ones not contaminated because it seems easier for me.""}"
subj_296,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I chose the vials that are not contaminated because that will remove the contaminated vials plus the ones that the colleague does not know.""}"
subj_314,uncont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Because we are already aware that they know about the contamination status of some, but not all. We could potentially be able to work with the ones we at least know for sure are not contaminated since we don't have a clear answer.""}"
subj_126,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I would rather know which ones are safe for sure. Then I don't question that those are good to use. At least I have some confirmed uncontaminated vials. If I ask for contaminated, I can't be certain if any are safe to use.""}"
subj_122,uncont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I want to know the ones he knows for sure are bad""}"
subj_177,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""it might be easier for him to remember which ones are not contaminated.""}"
subj_121,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I thought the colleague would remember better if he knew what vials are not contaminated for sure.""}"
subj_077,cont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""It does not seem to matter which question is asked based on the fact it will be 50/50 regardless""}"
subj_125,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""i decided on the strategy by thinking of which vial is contaminated""}"
subj_038,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""To me it is better to find the non contaminated, it just feels like a smarter option ""}"
subj_144,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""They know which ones were affected so it is best to ask which ones were contaminated.""}"
subj_127,uncont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""They may not be sure which ones aren't contaminated.""}"
subj_100,uncont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""He only knows some of the vials are definitely contaminated. Better to eliminate those as he doesn't know any uncontaminated ones for ure.""}"
subj_102,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I chose to ask about the vials that were contaminated because I feel that there are not many vials are contaminated. Just a lucky guess""}"
subj_304,uncont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""My colleague knows for certain about some of the contaminated veils and by removing those ones I can accurately lower the number of contaminated veils. I think it gives me the highest chance of lowering the number of contaminated without relying on guessing.""}"
subj_004,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I wanted to identify  those vials which were definitel contaminated, which the assistant would be able to do - at least they can identify some of them.""}"
subj_250,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Finding the contaminated vials is most important.""}"
subj_273,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""He knows for sure some thar are bad.\n""}"
subj_005,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I want to run the test on an uncontaminated vial and this question lets me know one.  If I ask which are contaminated then I am left with vials that still might be either unknown or contaminated and I don't know which to pick, if any.""}"
subj_088,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""would only leave contaminated for sure this way""}"
subj_323,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I decided to ask which vials are contaminated since once I know the ones that are, that will bring me closer to what the contaminant is.""}"
subj_111,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I figured I might as well go right for the vials that are contaminated and get rid of them.""}"
subj_036,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""It made the most sense.""}"
subj_128,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I feel that knowing what the contaminant is will help to test for it""}"
subj_133,uncont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I thought it would be easier for them to identify the one's that they knew for sure were contaminated.""}"
subj_014,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""This would tell me what to look for.""}"
subj_187,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""If he tells me which are not contaminated i can run the test on the non-contaminated vial""}"
subj_112,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I asked my colleague which vials were contaminated because I need to remove as many contaminated vials as possible. \nAlso, my score depends on how well I removed the contaminated vials. ""}"
subj_063,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I wanted to give as many good known vials as possible.""}"
subj_015,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""My hope is that he knows which ones were NOT contaminated.""}"
subj_050,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I wanted to eliminate one pausabiltiy""}"
subj_174,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""There's no difference in completeness and relevance between the information coming from the questions that I noticed.""}"
subj_152,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""They most likely saw which vials were contaminated versus which ones were not.""}"
subj_330,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I felt like with either answer you end up with the same conclusion. ""}"
subj_326,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""It seems like the question that makes the most sense. ""}"
subj_179,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""Because This way once I find these we will be left with the uncontaminated ones. ""}"
subj_316,uncont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""The colleague was in the lab when the contamination happened - therefore, they might know which vials potentially came into contaminants, even if they don't know for sure if all of them were ultimately contaminated.""}"
subj_305,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""Honestly I do not know other than a hunch, so I cannot describe it in detail other than it would be helpful for me to know which viles are NOT contaminated, because this is most important to me.  I am sorry if this is not a correct answer, but this is my honest opinion.  More so I returned the submission because attention checks cannot be based on memory as per Prolific guidelines.""}"
subj_202,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""If I picked for it to show me uncomtaminated vials then I would at least know what is safe to test""}"
subj_009,uncont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""It'd give me fewer vials to sort through to find those that aren't contaminated""}"
subj_232,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Knowing for sure what I'm taking out increases likelihood of passing rather than only keeping whats safe since at the same time I could be missing way more info. ""}"
subj_082,cont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""This would help to narrow down the possible number.""}"
subj_152,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""It would depend on which vials they saw become contaminated.""}"
subj_184,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I felt it was the most straight forward question to get straight answer.""}"
subj_012,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I figure that asking which ones are contaminated will allow me to immediately dispose of it without needing to know which ones are not.""}"
subj_076,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""No well defined strategy to it, but I suppose it's better to know which are contaminated rather than which are not. Err on the side of caution.""}"
subj_065,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I would want to know which ones were contaminated. I would then have to guess.""}"
subj_201,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I chose to ask which vials are contaminated because that directly protects the goal of running the test successfully. If I know exactly which ones are bad, I can safely remove them and use the remaining vials with confidence. Asking which are \""not contaminated\"" could be riskier if there's any doubt or memory error, but clearly labeling the contaminated ones makes it easier to avoid mistakes. This strategy focuses on eliminating known risks first, so the rest of the samples are more likely to be safe for testing.""}"
subj_099,cont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""Just a hunch or feeling""}"
subj_086,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I need to know which one is open for testing, so knowing which one is not contaminated helps me identify that.""}"
subj_110,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""The vials that aren't contaminated are the ones we can salvage for the experiment, as the contaminated ones have no more useful information for us theyre not important. Since contamination isn't the goal of the study ""}"
subj_288,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""To rule out which ones I do not need to waste time inspecting, I think it is a better option to first ask which ones for sure are not contaminated.""}"
subj_170,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""so that I can decide which vials are contaminated and dispose those.""}"
subj_310,uncont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Certain action must be made to the vial, if the thing appears to be contaminated.""}"
subj_003,cont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""Is there a commonality to non-contaminated""}"
subj_188,cont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I came up with this choice based on how it sounds. By not contaminated I feel I have a higher chance of this giving me the correct information I need.""}"
subj_092,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""This gets to the point of which exact ones ""}"
subj_136,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""If they can tell me which ones are not contaminated, then I can assess which ones are contaminated. ""}"
subj_224,uncont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""If I know which are contaminated, then I can eliminate them and I will have not contaminated vials""}"
subj_258,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Im not real sure but Im guessing I know what the vials started with and maybe if I know which ones are bad, I can easily compare because I know something has changed....???? ""}"
subj_002,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I only need to run one trial so I only need one uncontaminated vial and asking which is uncontaminated is a 100% success rate versus trying to guess which aren't contaminated if I asked which were contaminated.""}"
subj_183,uncont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""by finding out which ones are contaminated i know which ones are ok""}"
subj_333,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""Because I need a vial that's for certain not contaminated.""}"
subj_217,cont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I just follow my feelings""}"
subj_227,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I chose to ask which vials are not contaminated so I could safely pick clean ones for the experiment.""}"
subj_318,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I need to test a contaminated vial so I ask him for one that is contaminated. If I ask him about one that is not contaminated, I can’t assume all the other ones are contaminated. That logic would be false. ""}"
subj_255,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I think knowing with certainty which vials are NOT contaminated is an easier way to confirm which vials are usable by removing all vials that do not fit the criteria of \""not contaminated.\""""}"
subj_103,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Increases the probability of finding the contaminant because if the colleague is certain about a contaminated vial, this improves the overall probabilities.""}"
subj_276,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I decided to ask the most direct question that is which vials are contaminated.""}"
subj_271,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""i figure they would keep an eye on what wasn't contaminated more than what was""}"
subj_302,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""We already know the contaminated vials, having this in mind as the end goal helps narrow down the question.""}"
subj_329,uncont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I assume if I can know which one's are contaminated, I have a higher chance of finding good ones.""}"
subj_051,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I thought it would be a good idea to get their perspective on what they know first.""}"
subj_251,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I think I have a sense of, based on the first couple of pictures, the ones that may be contaminated, I’d like to roll out as many as possible""}"
subj_226,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""Because we don't know how many vials are contaminated or not, but knowing which ones are NOT contaminated means i can keep them. ""}"
subj_068,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I would rather keep the non-contaminated ones and throw out the rest.""}"
subj_231,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Questions seemed functionally identical, so I had no real strategy.""}"
subj_233,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""What they know for certain is how to eliminate bad vials. ""}"
subj_206,cont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""a random pick. ""}"
subj_022,uncont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Knowing that the person saw the contamination, it's better to ask for said item rather than the ones they didn't see. The person is more likely to give better, correct information this way.""}"
subj_081,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""i can pick whichever is not obviously a contaminated vial with the info""}"
subj_029,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I wanted to start by eliminating the ones we know for sure are bad. It was really just my gut instinct.""}"
subj_021,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""It is more of a hunch and not really any reasoning because I am honestly not sure which would be more beneficial. I would like to be certain about the contaminated ones. That's the way that I lean.""}"
subj_165,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I first wanted to ask which vials are not contaminated that my colleague knows for sure. I want 100% certainty in my experiments and start with the safest options possible. Then I would later ask which ones he is uncertain of. This will allow him to remember whether each vial got contaminated or not while I experiment with the ones he knows are 100% safe. ""}"
subj_033,cont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""If he tells me which ones aren’t contaminated I can narrow down which ones are""}"
subj_131,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""If I'm trying to figure out what the contaminant is, then I need to test the vials that have been contaminated to see what is in them that isn't supposed to be.""}"
subj_307,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Lowkey just guessed ""}"
subj_017,uncont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I thought that the most important outcome was to give uncontaminated samples for the experiment, and identifying the certain ones was the first step.""}"
subj_286,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""If I know which ones are not contaminated those ones can be saved and since I don’t know the status of the other ones they should be disposed of. If I asked for the contaminated ones I wouldn’t know if I threw out all of them out.""}"
subj_244,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""the main goal is to run the experiment on uncontaminated vials, if the colleague knows some of them that are not contaminated, we can continue woth the main goal""}"
